"meta_id"	"user_id"	"screen_name"	"moc_117"	"moc_116"	"pundit"	"covid_elite"	"president"	"media"	"candidate"	"governor"	"official"
"MS11794659"	"21111098"	"SenShelby"	1	1	0	0	0	0	0	0	0
"MS11749703"	"19726613"	"SenatorCollins"	1	1	0	0	0	0	1	0	0
"MS11749308"	"293131808"	"PattyMurray"	1	1	0	1	0	0	0	0	0
"MS11749300"	"476256944"	"SenFeinstein"	1	1	0	0	0	0	0	0	0
"MS11742102"	"110798061"	"TTuberville"	1	0	0	0	0	0	1	0	0
"MS11742102"	"1345739193721487362"	"SenTuberville"	1	0	0	0	0	0	1	0	0
"MS11742101"	"117839957"	"Hickenlooper"	1	0	0	0	0	0	1	0	0
"MS11742101"	"1318728336923787264"	"SenatorHick"	1	0	0	0	0	0	1	0	0
"MS11742100"	"1152598802873880576"	"BillHagertyTN"	1	0	0	1	0	0	1	0	0
"MS11742100"	"1346873610875654147"	"SenatorHagerty"	1	0	0	0	0	0	1	0	0
"MS11741905"	"1324926274888888320"	"SenMarkKelly"	1	1	0	0	0	0	1	0	0
"MS11741903"	"131546062"	"SenRickScott"	1	1	0	0	0	0	0	0	0
"MS11741902"	"50055701"	"MittRomney"	1	1	0	0	0	0	0	0	0
"MS11741902"	"1078693601356509184"	"SenatorRomney"	1	1	0	0	0	0	0	0	0
"MS11741901"	"1080960924687704064"	"SenHawleyPress"	1	1	0	0	0	0	0	0	0
"MS11741901"	"2352629311"	"HawleyMO"	1	1	0	1	0	0	0	0	0
"MS11741900"	"1080870981877534720"	"SenatorBraun"	1	1	0	0	0	0	0	0	0
"MS11741707"	"262192574"	"cindyhydesmith"	1	1	0	0	0	0	0	0	0
"MS11741707"	"983348251972816896"	"SenHydeSmith"	1	1	0	0	0	0	1	0	0
"MS11741706"	"941000686275387392"	"SenTinaSmith"	1	1	0	0	0	0	0	0	0
"MS11741706"	"47724293"	"TinaSmithMN"	1	1	0	0	0	0	1	0	0
"MS11741703"	"816683274076614656"	"SenJohnKennedy"	1	1	0	0	0	0	0	0	0
"MS11741702"	"946549322"	"SenatorHassan"	1	1	0	0	0	0	0	0	0
"MS11741701"	"30354991"	"KamalaHarris"	1	1	0	1	0	0	0	0	0
"MS11741700"	"3145735852"	"CatherineforNV"	1	1	0	0	0	0	0	0	0
"MS11741700"	"811313565760163844"	"SenCortezMasto"	1	1	0	0	0	0	0	0	0
"MS11741505"	"2955485182"	"SenatorRounds"	1	1	0	0	0	0	1	0	0
"MS11741504"	"22195441"	"ThomTillis"	1	1	0	0	0	0	0	0	0
"MS11741504"	"2964174789"	"SenThomTillis"	1	1	0	0	0	0	1	0	0
"MS11741503"	"2962923040"	"SenSasse"	1	1	0	0	0	0	1	0	0
"MS11741503"	"1480852568"	"BenSasse"	1	1	0	0	0	0	1	0	0
"MS11741502"	"2856787757"	"SenJoniErnst"	1	1	0	0	0	0	1	0	0
"MS11741502"	"1383059977"	"joniernst"	1	1	0	0	0	0	1	0	0
"MS11741500"	"2891210047"	"SenDanSullivan"	1	1	0	0	0	0	1	0	0
"MS11741308"	"15808765"	"CoryBooker"	1	1	0	1	0	0	1	0	0
"MS11741308"	"2167097881"	"SenBooker"	1	1	0	0	0	0	0	0	0
"MS11741305"	"172858784"	"timkaine"	1	1	0	0	0	0	0	0	0
"MS11741304"	"1074480192"	"SenTedCruz"	1	1	0	1	0	0	0	0	0
"MS11741304"	"23022687"	"tedcruz"	1	1	0	1	0	0	0	0	0
"MS11741302"	"1071402577"	"SenatorFischer"	1	1	0	0	0	0	0	0	0
"MS11741301"	"357606935"	"ewarren"	1	1	0	1	0	0	0	0	0
"MS11741301"	"970207298"	"SenWarren"	1	1	0	1	0	0	0	0	0
"MS11741300"	"1068481578"	"SenAngusKing"	1	1	0	0	0	0	0	0	0
"MS11741112"	"1262099252"	"SenBrianSchatz"	1	1	0	0	0	0	0	0	0
"MS11741112"	"47747074"	"brianschatz"	1	1	0	1	0	0	0	0	0
"MS11741111"	"142332083"	"RonJohnsonWI"	1	1	0	0	0	0	0	0	0
"MS11741111"	"233737858"	"SenRonJohnson"	1	1	0	0	0	0	0	0	0
"MS11741110"	"88784440"	"SenMikeLee"	1	1	0	0	0	0	0	0	0
"MS11741107"	"382791093"	"SenJohnHoeven"	1	1	0	0	0	0	0	0	0
"MS11741104"	"216881337"	"RandPaul"	1	1	0	1	0	0	0	0	0
"MS11741102"	"15745368"	"marcorubio"	1	1	0	1	0	0	0	0	0
"MS11741101"	"278124059"	"SenBlumenthal"	1	1	0	1	0	0	0	0	0
"MS11740916"	"15324851"	"ChrisCoons"	1	1	0	0	0	0	1	0	0
"MS11740915"	"234374703"	"Sen_JoeManchin"	1	1	0	1	0	0	0	0	0
"MS11740910"	"45645232"	"MichaelBennet"	1	1	0	0	0	0	0	0	0
"MS11740910"	"224285242"	"SenatorBennet"	1	1	0	0	0	0	0	0	0
"MS11740909"	"7429102"	"MarkWarner"	1	1	0	0	0	0	1	0	0
"MS11740908"	"29201047"	"SenJeffMerkley"	1	1	0	1	0	0	0	0	0
"MS11740908"	"223166587"	"JeffMerkley"	1	1	0	0	0	0	1	0	0
"MS11740906"	"109287731"	"SenatorShaheen"	1	1	0	1	0	0	0	0	0
"MS11740902"	"1096059529"	"SenatorRisch"	1	1	0	0	0	0	1	0	0
"MS11740707"	"202206694"	"SenJohnBarrasso"	1	1	0	0	0	0	0	0	0
"MS11740704"	"242555999"	"SenWhitehouse"	1	1	0	1	0	0	0	0	0
"MS11740703"	"171598736"	"SenBobCasey"	1	1	0	1	0	0	0	0	0
"MS11740702"	"515822213"	"SenatorTester"	1	1	0	0	0	0	0	0	0
"MS11740700"	"33537967"	"amyklobuchar"	1	1	0	1	0	0	0	0	0
"MS11740700"	"22044727"	"SenAmyKlobuchar"	1	1	0	0	0	0	0	0	0
"MS11740305"	"13218102"	"JohnCornyn"	1	1	0	0	0	0	1	0	0
"MS11740300"	"18061669"	"lisamurkowski"	1	1	0	0	0	0	0	0	0
"MS11739310"	"117501995"	"SenatorCantwell"	1	1	0	0	0	0	0	0	0
"MH11739307"	"161791703"	"BobbyScott"	1	1	0	0	0	0	0	0	0
"MH11739305"	"168502762"	"RepEBJ"	1	1	0	0	0	0	0	0	0
"MH11739301"	"188019606"	"WhipClyburn"	1	1	0	0	0	0	0	0	0
"MH11731103"	"1155335864"	"RepDonaldPayne"	1	1	0	0	0	0	0	0	0
"MH11731102"	"975200486"	"RepThomasMassie"	1	1	0	1	0	0	0	0	0
"MH11731101"	"995193054"	"RepDelBene"	1	1	0	0	0	0	0	0	0
"MS11729940"	"87510313"	"tammybaldwin"	1	1	0	0	0	0	0	0	0
"MS11729940"	"1074518754"	"SenatorBaldwin"	1	1	0	0	0	0	0	0	0
"MS11729935"	"221162525"	"SenToomey"	1	1	0	0	0	0	0	0	0
"MH11729911"	"24195214"	"janschakowsky"	1	1	0	0	0	0	0	0	0
"MH11729910"	"76132891"	"CongMikeSimpson"	1	1	0	0	0	0	0	0	0
"MH11729908"	"50452197"	"RepJohnLarson"	1	1	0	0	0	0	0	0	0
"MH11729903"	"161411080"	"gracenapolitano"	1	1	0	0	0	0	0	0	0
"MH11729901"	"303861808"	"RepThompson"	1	1	0	0	0	0	0	0	0
"MH11729778"	"248735463"	"RepBarbaraLee"	1	1	0	0	0	0	0	0	0
"MH11729776"	"22812754"	"RepGregoryMeeks"	1	1	0	0	0	0	0	0	0
"MH11729769"	"112740986"	"RepRonKind"	1	1	0	0	0	0	0	0	0
"MH11729768"	"58928690"	"RepAdamSmith"	1	1	0	0	0	0	0	0	0
"MH11729762"	"161743731"	"RepKayGranger"	1	1	0	0	0	0	0	0	0
"MH11729760"	"19926675"	"RepKevinBrady"	1	1	0	0	0	0	0	0	0
"MH11729759"	"24735461"	"PeteSessions"	1	0	0	0	0	0	0	0	0
"MS11729754"	"296361085"	"SenJohnThune"	1	1	0	1	0	0	0	0	0
"MH11729741"	"74508260"	"BillPascrell"	1	1	0	1	0	0	0	0	0
"MS11729735"	"21269970"	"RoyBlunt"	1	1	0	0	0	0	0	0	0
"MS11729732"	"20113797"	"stabenow"	1	1	0	0	0	0	0	0	0
"MS11729732"	"76456274"	"SenStabenow"	1	1	0	0	0	0	0	0	0
"MH11729729"	"242426145"	"RepMcGovern"	1	1	0	0	0	0	0	0	0
"MS11729722"	"18632666"	"JerryMoran"	1	1	0	0	0	0	0	0	0
"MH11729717"	"789244177"	"RepDannyDavis"	1	1	0	0	0	0	0	0	0
"MH11729710"	"28599820"	"RepDianaDeGette"	1	1	0	0	0	0	0	0	0
"MH11729707"	"30216513"	"BradSherman"	1	1	0	0	0	0	0	0	0
"MH11729701"	"76452765"	"Robert_Aderholt"	1	1	0	0	0	0	0	0	0
"MH11729588"	"15954997"	"repblumenauer"	1	1	0	0	0	0	0	0	0
"MH11729573"	"80612021"	"JacksonLeeTX18"	1	1	0	0	0	0	0	0	0
"MH11729571"	"153944899"	"RepLloydDoggett"	1	1	0	0	0	0	0	0	0
"MS11729566"	"432895323"	"LindseyGrahamSC"	1	1	0	1	0	0	1	0	0
"MS11729566"	"14845376"	"GrahamBlog"	1	0	0	0	0	0	0	0	0
"MH11729561"	"39249305"	"USRepMikeDoyle"	1	1	0	0	0	0	0	0	0
"MH11729550"	"237750442"	"RepSteveChabot"	1	1	0	0	0	0	0	0	0
"MS11729548"	"21157904"	"SenatorBurr"	1	1	0	0	0	0	0	0	0
"MS11729534"	"264219447"	"SenatorWicker"	1	1	0	0	0	0	0	0	0
"MH11729504"	"267938462"	"RepZoeLofgren"	1	1	0	0	0	0	0	0	0
"MH11729393"	"242772524"	"RepFrankLucas"	1	1	0	0	0	0	0	0	0
"MS11729389"	"24768753"	"sherrodbrown"	1	1	0	0	0	0	0	0	0
"MS11729389"	"43910797"	"SenSherrodBrown"	1	1	0	1	0	0	0	0	0
"MS11729386"	"18915145"	"senrobportman"	1	1	0	0	0	0	0	0	0
"MH11729379"	"258900199"	"RepMaloney"	1	1	0	0	0	0	0	0	0
"MH11729379"	"119250381"	"CarolynBMaloney"	1	1	0	0	0	0	0	0	0
"MH11729378"	"164369297"	"NydiaVelazquez"	1	1	0	0	0	0	0	0	0
"MH11729377"	"40302336"	"RepJerryNadler"	1	1	0	1	0	0	0	0	0
"MS11729373"	"18695134"	"SenatorMenendez"	1	1	0	0	0	0	0	0	0
"MH11729368"	"82453460"	"BennieGThompson"	1	1	0	0	0	0	0	0	0
"MH11729346"	"305216911"	"RepBobbyRush"	1	1	0	0	0	0	0	0	0
"MS11729345"	"600463589"	"MikeCrapo"	1	1	0	0	0	0	0	0	0
"MH11729339"	"249410485"	"SanfordBishop"	1	1	0	0	0	0	0	0	0
"MH11729323"	"22545491"	"KenCalvert"	1	1	0	0	0	0	0	0	0
"MH11729317"	"479872233"	"RepRoybalAllard"	1	1	0	0	0	0	0	0	0
"MH11729312"	"249348006"	"RepAnnaEshoo"	1	1	0	0	0	0	0	0	0
"MS11729147"	"29442313"	"SenSanders"	1	1	0	1	0	0	0	0	0
"MS11729147"	"216776631"	"BernieSanders"	1	1	0	1	0	0	0	0	0
"MS11729142"	"486694111"	"SenJackReed"	1	1	0	0	0	0	1	0	0
"MH11729109"	"140519774"	"rosadelauro"	1	1	0	0	0	0	0	0	0
"MH11729106"	"36686040"	"RepMaxineWaters"	1	1	0	1	0	0	0	0	0
"MH11722156"	"36424664"	"NikemaWilliams"	1	0	0	0	0	0	0	0	0
"MH11722156"	"1345461797361504259"	"RepNikema"	1	0	0	0	0	0	0	0	0
"MH11722155"	"489856457"	"Bethvanduyne"	1	0	0	0	0	0	0	0	0
"MH11722155"	"1339633259349745670"	"RepBethVanDuyne"	1	0	0	0	0	0	0	0	0
"MH11722154"	"1247612029"	"RitchieTorres"	1	0	0	0	0	0	0	0	0
"MH11722154"	"1276403757224546304"	"RepRitchie"	1	0	0	0	0	0	0	0	0
"MH11722153"	"1343646545955213312"	"RepStricklandWA"	1	0	0	0	0	0	0	0	0
"MH11722153"	"1206654366758785024"	"StricklandforWA"	1	0	0	0	0	0	0	0	0
"MH11722152"	"1122934522134315009"	"MichelleSteelCA"	1	0	0	0	0	0	0	0	0
"MH11722152"	"1343740146630451200"	"RepSteel"	1	0	0	0	0	0	0	0	0
"MH11722151"	"1205364420"	"Victoria_Spartz"	1	0	0	0	0	0	0	0	0
"MH11722151"	"1344845201479663621"	"RepSpartz"	1	0	0	0	0	0	0	0	0
"MH11722150"	"40282700"	"MaElviraSalazar"	1	0	0	0	0	0	0	0	0
"MH11722150"	"1325928411689349120"	"RepMariaSalazar"	1	0	0	0	0	0	0	0	0
"MH11722149"	"3806081652"	"DeborahRossNC"	1	0	0	0	0	0	0	0	0
"MH11722149"	"1348683154815655940"	"RepDeborahRoss"	1	0	0	0	0	0	0	0	0
"MH11722148"	"1344751420139040783"	"RepRosendale"	1	0	0	0	0	0	1	0	0
"MH11722147"	"1021216905795899392"	"AugustPfluger"	1	0	0	0	0	0	0	0	0
"MH11722147"	"1341120751399809026"	"RepPfluger"	1	0	0	0	0	0	0	0	0
"MH11722146"	"779104195"	"BurgessOwens"	1	0	0	0	0	0	0	0	0
"MH11722146"	"1344481217685692416"	"RepBurgessOwens"	1	0	0	0	0	0	0	0	0
"MH11722145"	"272482466"	"JayObernolte"	1	0	0	0	0	0	0	0	0
"MH11722145"	"1291597452357771264"	"TeamObernolte"	1	0	0	0	0	0	0	0	0
"MH11722144"	"1343578440977494018"	"RepMarieNewman"	1	0	0	0	0	0	0	0	0
"MH11722143"	"3299995136"	"SheriffTNehls"	1	0	0	0	0	0	0	0	0
"MH11722143"	"1347318288850825217"	"RepTroyNehls"	1	0	0	0	0	0	0	0	0
"MH11722142"	"1346205046036377601"	"RepMrvan"	1	0	0	0	0	0	0	0	0
"MH11722141"	"1337452596093587462"	"RepBlakeMoore"	1	0	0	0	0	0	0	0	0
"MH11722140"	"1339006078688825344"	"RepBarryMoore"	1	0	0	0	0	0	0	0	0
"MH11722139"	"1345807954604412929"	"RepMMM"	1	0	0	0	0	0	0	0	0
"MH11722139"	"18131106"	"millermeeks"	1	0	0	0	0	0	0	0	0
"MH11722138"	"1343656635907125250"	"RepMaryMiller"	1	0	0	0	0	0	0	0	0
"MH11722137"	"1334164871420796928"	"RepMeijer"	1	0	0	0	0	0	0	0	0
"MH11722136"	"1344032292432437248"	"RepLisaMcClain"	1	0	0	0	0	0	0	0	0
"MH11722135"	"936626346553413633"	"KathyManningNC"	1	0	0	0	0	0	0	0	0
"MH11722135"	"1337115670161608712"	"RepKManning"	1	0	0	0	0	0	0	0	0
"MH11722134"	"1345825008887721986"	"RepMann"	1	0	0	0	0	0	0	0	0
"MH11722133"	"757862089"	"NMalliotakis"	1	0	0	0	0	0	0	0	0
"MH11722133"	"1344750588026900481"	"RepMalliotakis"	1	0	0	0	0	0	0	0	0
"MH11722132"	"914815520842616834"	"NancyMace"	1	0	0	0	0	0	0	0	0
"MH11722132"	"1343597700542038017"	"RepNancyMace"	1	0	0	0	0	0	0	0	0
"MH11722131"	"1345147845926670337"	"RepTeresaLF"	1	0	0	0	0	0	0	0	0
"MH11722131"	"1128147829606600706"	"TeresaForNM"	1	0	0	0	0	0	0	0	0
"MH11722130"	"1082329240681492481"	"JakeLaTurner"	1	0	0	0	0	0	0	0	0
"MH11722130"	"1345850704800468993"	"RepLaTurner"	1	0	0	0	0	0	0	0	0
"MH11722129"	"2355919591"	"YoungKimCA"	1	0	0	0	0	0	0	0	0
"MH11722129"	"1344677401465397249"	"RepYoungKim"	1	0	0	0	0	0	0	0	0
"MH11722128"	"4863545294"	"kaikahele"	1	0	0	0	0	0	0	0	0
"MH11722127"	"1345883634046279681"	"RepMondaire"	1	0	0	0	0	0	0	0	0
"MH11722127"	"872143958847045632"	"MondaireJones"	1	0	0	0	0	0	0	0	0
"MH11722126"	"1345103905869455361"	"RepSaraJacobs"	1	0	0	0	0	0	0	0	0
